Date,Price,Open,High,Low,Vol.,Change %
2021-03-16,33556.6,34031.5,34189.8,33477.5,2.80M,-1.40%
2021-03-17,34268.9,33635.8,34348.0,33200.5,5.47M,2.12%
2021-03-18,35614.3,34822.9,35851.8,34466.8,7.13M,3.93%
2021-03-19,35614.3,35614.3,35930.9,35376.9,3.63M,0.00%
2021-03-22,35337.3,35614.3,35614.3,35218.6,3.22M,-0.78%
2021-03-23,34585.5,35218.6,35258.2,34110.6,5.72M,-2.13%
2021-03-24,33358.8,34031.5,34268.9,33160.9,4.20M,-3.55%
2021-03-25,33437.9,33635.8,33991.9,33200.5,2.98M,0.24%
2021-03-26,33319.2,33200.5,33556.6,32052.9,3.08M,-0.35%
2021-03-29,33675.3,33635.8,33754.5,33358.8,1.70M,1.07%
2021-03-30,33912.8,34031.5,34071.0,33477.5,2.90M,0.71%
2021-03-31,33991.9,33991.9,34387.6,33873.2,2.73M,0.23%
2021-04-01,34783.3,34031.5,34822.9,34031.5,4.66M,2.33%
2021-04-02,35614.3,35139.5,36010.0,34862.5,7.29M,2.39%
2021-04-05,36049.6,36168.3,36326.6,35693.5,7.51M,1.22%
2021-04-06,36207.9,35930.9,36603.6,35653.9,5.17M,0.44%
2021-04-07,36049.6,36168.3,36207.9,35891.3,3.28M,-0.44%
2021-04-08,35456.0,36168.3,36247.5,35376.9,5.55M,-1.65%
2021-04-09,35060.3,35376.9,35456.0,34862.5,5.65M,-1.12%
2021-04-12,35416.5,35218.6,35851.8,34902.0,6.48M,1.02%
2021-04-13,34545.9,35614.3,35693.5,34427.2,4.97M,-2.46%
2021-04-14,34822.9,34427.2,35060.3,34031.5,3.57M,0.80%
2021-04-15,34071.0,34902.0,34981.2,34031.5,4.66M,-2.16%
2021-04-16,33240.0,33912.8,34427.2,33121.3,5.87M,-2.44%
2021-04-19,34031.5,33240.0,34110.6,33081.7,4.02M,2.38%
2021-04-20,34189.8,34110.6,34822.9,33991.9,3.37M,0.47%
2021-04-22,32448.6,34189.8,34189.8,32448.6,3.68M,-5.09%
2021-04-23,33240.0,32448.6,33358.8,32329.9,3.87M,2.44%
2021-04-26,32052.9,33042.2,33240.0,32052.9,4.19M,-3.57%
2021-04-27,31934.2,32052.9,32290.3,31815.5,2.49M,-0.37%
2021-04-28,32132.0,31934.2,32369.5,31934.2,1.73M,0.62%
2021-04-29,32448.6,32132.0,33160.9,32132.0,2.45M,0.99%
2021-05-04,32686.0,31657.2,33081.7,31657.2,2.73M,0.73%
2021-05-05,33160.9,33002.6,33517.0,32844.3,3.39M,1.45%
2021-05-06,32646.5,33160.9,33160.9,32606.9,2.82M,-1.55%
2021-05-07,32171.6,32132.0,32606.9,32052.9,4.66M,-1.45%
2021-05-10,32765.2,32052.9,32844.3,31934.2,3.81M,1.85%
2021-05-11,33319.2,33240.0,34427.2,33081.7,6.73M,1.69%
2021-05-12,33754.5,33240.0,33794.0,33081.7,4.19M,1.31%
2021-05-13,33714.9,33635.8,34348.0,33240.0,4.38M,-0.12%
2021-05-14,33517.0,33873.2,34031.5,33477.5,3.43M,-0.59%
2021-05-17,33081.7,33635.8,34031.5,33002.6,3.76M,-1.30%
2021-05-18,32369.5,33002.6,33002.6,32290.3,4.91M,-2.15%
2021-05-19,32369.5,32448.6,32765.2,32132.0,3.61M,0.00%
2021-05-20,33121.3,32369.5,33160.9,31657.2,4.40M,2.32%
2021-05-21,35416.5,33240.0,35416.5,33121.3,16.38M,6.93%
2021-05-24,36405.8,36010.0,36722.3,36010.0,8.80M,2.79%
2021-05-25,36959.8,36405.8,37078.5,35970.5,7.96M,1.52%
2021-05-26,36920.2,36959.8,37276.3,36564.0,9.27M,-0.11%
2021-05-27,35930.9,37038.9,37038.9,35653.9,7.37M,-2.68%
2021-05-28,37315.9,36089.2,37751.2,35535.2,9.88M,3.85%
2021-05-31,38542.6,37830.3,38621.8,37592.9,7.04M,3.29%
2021-06-01,37988.6,38661.3,38780.0,37988.6,5.15M,-1.44%
2021-06-02,37513.8,37434.6,37949.0,37355.5,7.60M,-1.25%
2021-06-03,38621.8,37830.3,39175.8,37513.8,8.45M,2.95%
2021-06-04,38780.0,38542.6,39175.8,37988.6,7.47M,0.41%
2021-06-07,37038.9,38384.3,38463.5,36089.2,6.63M,-4.49%
